step,problem_id,pred,label,n_icl,correct,cumulative_regret,mem_size
0,0,Karachi,"Karachi, Pakistan",0,0,1.0000,0
1,1,Paper,Paper,0,1,1.0000,1
2,2,Yes,yes,0,1,1.0000,2
3,3,no,yes,0,0,2.0000,2
4,4,seasonal television specials,"seasonal television specials, particularly its work in stop motion animation",0,0,3.0000,2
5,5,Mr. Church,Mr. Church,0,1,3.0000,3
6,6,August,August 2011,0,0,4.0000,3
7,7,"Edmonton, Alberta","Edmonton, Alberta",0,1,4.0000,4
8,8,Unbreakable,Unbreakable,0,1,4.0000,5
9,9,35 people,35 people,0,1,4.0000,6
10,10,Hearts,Scottish Premiership club Hearts,3,0,5.0000,6
11,11,Nebo Zovyot,Nebo Zovyot,3,1,5.0000,7
12,12,Marvel Comics,Marvel,3,0,6.0000,7
13,13,New Journalism,the growing literary style called New Journalism,3,0,7.0000,7
14,14,Chelsea Does,Chelsea Does,3,1,7.0000,8
15,15,Pedro Rodríguez,Pedro Rodríguez,3,1,7.0000,9
16,16,Australia,Australian,3,0,8.0000,9
17,17,Burl Ives,Yarrow and Stookey,3,0,9.0000,9
18,18,Friends,Friends,3,1,9.0000,10
19,19,Wale,Wale,3,1,9.0000,11
20,20,The Four Seasons,The Four Seasons,3,1,9.0000,12
21,21,Compliance,Compliance,3,1,9.0000,13
22,22,Maria von Trapp,Maria von Trapp,3,1,9.0000,14
23,23,Figaro,Figaro,3,1,9.0000,15
24,24,Yellowcraigs,Yellowcraig,3,0,10.0000,15
25,25,PPG Paints Arena,PPG Paints Arena,3,1,10.0000,16
26,26,drafting,Conscription,3,0,11.0000,16
27,27,Autopia,Autopia,3,1,11.0000,17
28,28,gull-wing doors,gull-wing doors,3,1,11.0000,18
29,29,Captain John Underhill,Captain John Underhill,3,1,11.0000,19
30,30,The Go-Go's,"The Go-Go's,",3,1,11.0000,20
31,31,No,no,3,1,11.0000,21
32,32,one,33,3,0,12.0000,21
33,33,Distaghil Sar,Distaghil Sar,3,1,12.0000,22
34,34,"1,462","1,462",3,1,12.0000,23
35,35,Papa John's Cardinal Stadium,Mercedes-Benz Superdome,3,0,13.0000,23
36,36,Prince George's County,Prince George's County,3,1,13.0000,24
37,37,RTN,VH1,3,0,14.0000,24
38,38,1866,1866,3,1,14.0000,25
39,39,José Echegaray y Eizaguirre,José Echegaray y Eizaguirre,3,1,14.0000,26
40,40,Hidden America with Jonah Ray,Hidden America with Jonah Ray,3,1,14.0000,27
41,41,North African,North African Arab,3,0,15.0000,27
42,42,7°56',7°56',3,1,15.0000,28
43,43,Worcester County,Worcester County,3,1,15.0000,29
44,44,None,"""Walk Like an Egyptian""",3,0,16.0000,29
45,45,Secretary of State for Constitutional Affairs,Chief of Protocol,3,0,17.0000,29
46,46,Penélope Cruz,Salma Hayek Pinault,3,0,18.0000,29
47,47,AMC Theatres,AMC Theatres,3,1,18.0000,30
48,48,No,no,3,1,18.0000,31
49,49,Alberto Taquini,Dr. Alberto Taquini,3,0,19.0000,31
50,50,Yes,yes,3,1,19.0000,32
51,51,Bishop's Stortford,Bishop's Stortford,3,1,19.0000,33
52,52,Jeffrey Meldrum,"Don Jeffrey ""Jeff"" Meldrum (born May 24, 1958) is a Professor of Anatomy and Anthropology",3,0,20.0000,33
53,53,VNO,"IATA: VNO, ICAO: EYVI",3,0,21.0000,33
54,54,Usher,Usher,3,1,21.0000,34
55,55,one,three million copies worldwide,3,0,22.0000,34
56,56,1838,1838,3,1,22.0000,35
57,57,Author,author,3,1,22.0000,36
58,58,John Carpenter,"musician, editor and composer.",3,0,23.0000,36
59,59,Mako,Mako,3,1,23.0000,37
60,60,1736,1736,3,1,23.0000,39
61,61,Lempster,Newport,3,0,24.0000,39
62,62,Oxford University,Oxford,3,0,25.0000,39
63,63,Harsh Times,Suicide Squad,3,0,26.0000,39
64,64,"Doniphan County, Kansas",the U.S. state of Kansas,3,0,27.0000,39
65,65,John Morgan,John Morgan,3,1,27.0000,40
66,66,Romeo,Tybalt,3,0,28.0000,40
67,67,4.4 mi,2844 km,3,0,29.0000,40
68,68,No,no,3,1,29.0000,41
69,69,"Graffiti, breakdancing, rapping, hip hop production, DJing",Graffiti,3,0,30.0000,41
70,70,Quantrill's Raiders,pro-Confederate,3,0,31.0000,41
71,71,Chemistry,"American educator, writer,",3,0,32.0000,41
72,72,Dan Schneider,Helen Elizabeth Hunt,3,0,33.0000,41
73,73,Old Dogs,Old Dogs,3,1,33.0000,42
74,74,Bergen,Hordaland,3,0,34.0000,42
75,75,Big 12 Conference,the Big 12 Conference,3,1,34.0000,43
